
resurse umane   -   emberi er&#337;forrás, (személyzeti osztály) (frrs: ny3lv1 7ogok)
re&#355;ele edilitare   -   közm&#369; (frrs: ny3lv1 7ogok)
re&#355;inere la surs&#259;   -   keletkezésénél visszatartott adó (frrs: ny3lv1 7ogok)
retrocedare    -   visszaszolgáltatás (frrs: ny3lv1 7ogok)
retroversiune   -   visszafordítás (az eredeti nyelvre) (frrs: ny3lv1 7ogok)
revocarea mandatului   -   megbízás visszavonása (frrs: ny3lv1 7ogok)
rezerva succesoral&#259;   -   köteles rész (végrendeletnél) (frrs: ny3lv1 7ogok)
Rol Nominal Unic   -   adójegyzéki nyilvántartási szám (frrs: ny3lv1 7ogok)
rovigneta   -   úthasználati matrica (frrs: ny3lv1 7ogok)
S   -   S (frrs: ny3lv1 7ogok)
sala de audient&#259;   -   tárgyaló, tárgyalóterem (frrs: ny3lv1 7ogok)
sanc&#355;iune   -   büntetés (frrs: ny3lv1 7ogok)
sanc&#355;iune   -   hatályba léptet, (régiesen: szentesít) (frrs: ny3lv1 7ogok)
s&#259;v&#226;r&#351;i   -   elkövet (frrs: ny3lv1 7ogok)
scadent   -   esedékes, lejárt (frrs: ny3lv1 7ogok)
schimbare de domiciliu   -   lakhelyváltoztatás (frrs: ny3lv1 7ogok)
scoate din circula&#355;ie   -   kivon a forgalomból (frrs: ny3lv1 7ogok)
scutire   -   mentesség (pl. adó alól) (frrs: ny3lv1 7ogok)
scutit de impozite   -   adómentes (frrs: ny3lv1 7ogok)
sec&#355;ie   -   részleg,(kórházban: osztály; oktatásban: tagozat) (frrs: ny3lv1 7ogok)
sector   -   kerület (frrs: ny3lv1 7ogok)
&#351;ef compartiment    -   osztályvezet&#337; (frrs: ny3lv1 7ogok)
&#351;eful compartimentului contabil   -   f&#337;könyvel&#337; (frrs: ny3lv1 7ogok)
semnat&#259; &#206;n fa&#355;a noastr&#259;    -   jelenlétünkben aláírva (frrs: ny3lv1 7ogok)
semn&#259;tur&#259;   -   aláírás (frrs: ny3lv1 7ogok)
sentin&#355;&#259;   -   ítélet (frrs: ny3lv1 7ogok)
serie   -   sorozat,  sorozatszám, ('románosan': széria) (frrs: ny3lv1 7ogok)
sesiza   -   tudomására hoz (frrs: ny3lv1 7ogok)
sigila   -   lepecsétel (frrs: ny3lv1 7ogok)
sigiliu rotund   -   körbélyegz&#337; (frrs: ny3lv1 7ogok)
societate cu r&#259;spundere limitat&#259; (SRL)   -   korlátolt felel&#337;sség&#369; társaság (kft.) (frrs: ny3lv1 7ogok)
societate &#206;n comandit&#259; pe ac&#355;iuni (SCA)   -   részvényes betéti társaság (frrs: ny3lv1 7ogok)
societate &#206;n comandit&#259; simpl&#259; (SCS)   -   betéti társaság (bt.) (frrs: ny3lv1 7ogok)
societate &#206;n nume colectiv (SNC)   -   közkereseti társaság (kkt.) (frrs: ny3lv1 7ogok)
societate pe ac&#355;iuni (SA)   -   részvénytársaság (Rt.) (frrs: ny3lv1 7ogok)
solicitantului   -   kérelmez&#337; (frrs: ny3lv1 7ogok)
&#351;omer   -   munkanélküli (frrs: ny3lv1 7ogok)
spor de vechime   -   korpótlék (frrs: ny3lv1 7ogok)
sporuri   -   bérpótlékok (frrs: ny3lv1 7ogok)
&#351;tampil&#259; de control    -   ellen&#337;rz&#337; bélyegz&#337; (frrs: ny3lv1 7ogok)
standardizat   -   szabványos (frrs: ny3lv1 7ogok)
stare civil&#259;   -   családi állapot (frrs: ny3lv1 7ogok)
statut    -   alapszabály (frrs: ny3lv1 7ogok)
studii   -   iskolai végzettség (frrs: ny3lv1 7ogok)
sub&#206;nchiriere    -   albérlet (frrs: ny3lv1 7ogok)
subsemnatul(a)   -   allulírott (frrs: ny3lv1 7ogok)
suprafa&#355;&#259;   -   alapterület (frrs: ny3lv1 7ogok)
suprafa&#355;a util&#259;    -   hasznos felület, hasznos terület (frrs: ny3lv1 7ogok)
supralegalizare   -   felülhitelesítés (frrs: ny3lv1 7ogok)
T   -   T (frrs: ny3lv1 7ogok)
tabular   -   telekkönyvi (frrs: ny3lv1 7ogok)
talonul de pensie   -   nyugdíjszelvény (frrs: ny3lv1 7ogok)
tardiv   -   késedelmes (frrs: ny3lv1 7ogok)
tax&#259;   -   illeték (id&#337;nként adó, díj értelemben is) (frrs: ny3lv1 7ogok)
tax&#259; de abonament   -   el&#337;fizetési díj (frrs: ny3lv1 7ogok)
taxa de autentificare notariala   -   közjegyz&#337;i hitelesítés illetéke (frrs: ny3lv1 7ogok)
tax&#259; de procedur&#259;   -   eljárási illeték (frrs: ny3lv1 7ogok)
taxa de timbru judiciar   -   igazságügyi illeték befizetésér&#337;l szóló elismervény (frrs: ny3lv1 7ogok)
tax&#259; de urgenta   -   sürg&#337;ségi pótdíj (frrs: ny3lv1 7ogok)
taxa judiciara eliberare   -   kibocsátási illeték (frrs: ny3lv1 7ogok)
tax&#259; local&#259;   -   helyi adó (frrs: ny3lv1 7ogok)
tax&#259; timbru   -   illetékbélyeg, bélyegilleték (frrs: ny3lv1 7ogok)
temei juridic   -   jogalap (frrs: ny3lv1 7ogok)
teren   -   telek, terület (frrs: ny3lv1 7ogok)
termen   -   határid&#337; (frrs: ny3lv1 7ogok)
termen de decadere   -   jogveszt&#337; határid&#337; (frrs: ny3lv1 7ogok)
terminologie   -   szakszókincs (frrs: ny3lv1 7ogok)
testament   -   végrendelet (frrs: ny3lv1 7ogok)
tichete de cre&#351;&#259;   -   bölcs&#337;dei térítési jegy (frrs: ny3lv1 7ogok)
tichete de vacan&#355;&#259;   -   üdülési csekk, üdülési jegy (frrs: ny3lv1 7ogok)
timbru fiscal   -   illetékbélyeg (frrs: ny3lv1 7ogok)
timbru judiciar   -   igazságügyi bélyeg (frrs: ny3lv1 7ogok)
timbru judiciar autorizare   -   engedélyezési bélyegilleték (frrs: ny3lv1 7ogok)
titlu    -   jogcím (frrs: ny3lv1 7ogok)
titlului de properitate   -   birtoklevél (frrs: ny3lv1 7ogok)
titular   -   tulajdonos (frrs: ny3lv1 7ogok)
traducere   -   fordítás (idegen nyelvre) (frrs: ny3lv1 7ogok)
transfer   -   átutalás (frrs: ny3lv1 7ogok)
tratat   -   szerz&#337;dés (frrs: ny3lv1 7ogok)
tutelar -&#259;, -i, -e    -   gyám-; (frrs: ny3lv1 7ogok)
U   -   U (frrs: ny3lv1 7ogok)
unitate administrativ-teritorial&#259;   -   területi-közigazgatási egység (frrs: ny3lv1 7ogok)
urbanism   -   városrendezés, urbanisztika (frrs: ny3lv1 7ogok)
urm&#259;rire   -   körözés (b&#369;ncselekmény esetén) (frrs: ny3lv1 7ogok)
urma&#351;   -   örökös (frrs: ny3lv1 7ogok)
uz de drept   -   jogszokás (frrs: ny3lv1 7ogok)
uza de c&#259;i de atac   -   jogorvoslattal él (frrs: ny3lv1 7ogok)
uzucapiune   -   elbirtoklás (frrs: ny3lv1 7ogok)
uzucapiunea tabular&#259;   -   tulajdonjog (frrs: ny3lv1 7ogok)
uzufruct   -   haszonélvezet (frrs: ny3lv1 7ogok)
uzurpare de calit&#259;&#355;i oficiale   -   hivatali hatalommal történ&#337; visszélés (frrs: ny3lv1 7ogok)
uzurpare de func&#355;ie   -   hatáskör túllépése (frrs: ny3lv1 7ogok)
V   -   V (frrs: ny3lv1 7ogok)
v&#259;duv(&#259;)   -   özvegy (frrs: ny3lv1 7ogok)
valid   -   érvényes (frrs: ny3lv1 7ogok)
validare    -   igazolás (frrs: ny3lv1 7ogok)
vicios   -   hibás (frrs: ny3lv1 7ogok)
vigoare   -   jogi érvény, hatály (frrs: ny3lv1 7ogok)
vinov&#259;&#355;ie   -   b&#369;nösség, vétkesség (frrs: ny3lv1 7ogok)
viran   -   beépítetlen (frrs: ny3lv1 7ogok)
viz&#259;   -   vízum (frrs: ny3lv1 7ogok)
Z   -   Z (frrs: ny3lv1 7ogok)
zon&#259;   -   övezet, zóna  (frrs: ny3lv1 7ogok)
